          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
  274.950     3     3     3.0     45  13431 |   15  4231    0.2136    0.0142    0.0047 |
  275.925     3     3     3.0     45  13476 |   15  4246    0.2134    0.0142    0.0047 |
  276.900     3     3     3.0     45  13521 |   15  4261    0.2132    0.0142    0.0047 |
  277.875     3     3     3.0     45  13566 |   15  4276    0.2129    0.0142    0.0047 |
  278.850     3     3     3.0     45  13611 |   15  4291    0.2135    0.0142    0.0047 |
  279.825     3     3     3.0     45  13656 |   15  4306    0.2127    0.0142    0.0047 |
  280.800     3     3     3.0     45  13701 |   15  4321    0.2138    0.0143    0.0048 |
  281.775     3     3     3.0     45  13746 |   15  4336    0.2133    0.0142    0.0047 |
  282.750     3     3     3.0     45  13791 |   15  4351    0.2133    0.0142    0.0047 |
  283.725     3     3     3.0     45  13836 |   15  4366    0.2149    0.0143    0.0048 |
  284.700     3     3     3.0     45  13881 |   15  4381    0.2137    0.0142    0.0047 |
  285.675     3     3     3.0     45  13926 |   15  4396    0.2147    0.0143    0.0048 |
  286.650     3     3     3.0     45  13971 |   15  4411    0.2131    0.0142    0.0047 |
  287.625     3     3     3.0     45  14016 |   15  4426    0.2158    0.0144    0.0048 |
  288.600     3     3     3.0     45  14061 |   15  4441    0.2134    0.0142    0.0047 |
  289.575     3     3     3.0     45  14106 |   15  4456    0.2142    0.0143    0.0048 |
  290.550     3     3     3.0     45  14151 |   15  4471    0.2132    0.0142    0.0047 |
  291.525     3     3     3.0     45  14196 |   15  4486    0.2133    0.0142    0.0047 |
  292.500     3     3     3.0     45  14241 |   15  4501    0.2145    0.0143    0.0048 |
  293.475     3     3     3.0     45  14286 |   15  4516    0.2130    0.0142    0.0047 |
  294.450     3     3     3.0     45  14331 |   15  4531    0.2142    0.0143    0.0048 |
  295.425     3     3     3.0     45  14376 |   15  4546    0.2152    0.0143    0.0048 |
  296.400     3     3     3.0     45  14421 |   15  4561    0.2132    0.0142    0.0047 |
  297.375     3     3     3.0     45  14466 |   15  4576    0.2128    0.0142    0.0047 |
  298.350     3     3     3.0     45  14511 |   15  4591    0.2133    0.0142    0.0047 |
  299.325     3     3     3.0     45  14556 |   15  4606    0.2152    0.0143    0.0048 |
  300.300     3     3     3.0     45  14601 |   15  4621    0.2218    0.0148    0.0049 |
  301.275     3     3     3.0     45  14646 |   15  4636    0.2136    0.0142    0.0047 |
  302.250     3     3     3.0     45  14691 |   15  4651    0.2132    0.0142    0.0047 |
  303.225     3     3     3.0     45  14736 |   15  4666    0.2144    0.0143    0.0048 |
  304.200     3     3     3.0     45  14781 |   15  4681    0.2135    0.0142    0.0047 |
  305.175     3     3     3.0     45  14826 |   15  4696    0.2129    0.0142    0.0047 |
  306.150     3     3     3.0     45  14871 |   15  4711    0.2128    0.0142    0.0047 |
  307.125     3     3     3.0     45  14916 |   15  4726    0.2145    0.0143    0.0048 |
  308.100     3     3     3.0     45  14961 |   15  4741    0.2153    0.0144    0.0048 |
  309.075     3     3     3.0     45  15006 |   15  4756    0.2132    0.0142    0.0047 |
  310.050     3     3     3.0     45  15051 |   15  4771    0.2134    0.0142    0.0047 |
  311.025     3     3     3.0     45  15096 |   15  4786    0.2145    0.0143    0.0048 |
  312.000     3     3     3.0     45  15141 |   15  4801    0.2130    0.0142    0.0047 |
  312.975     3     3     3.0     45  15186 |   15  4816    0.2133    0.0142    0.0047 |
  313.950     3     3     3.0     45  15231 |   15  4831    0.2135    0.0142    0.0047 |
  314.925     3     3     3.0     45  15276 |   15  4846    0.2141    0.0143    0.0048 |
  315.900     3     3     3.0     45  15321 |   15  4861    0.2137    0.0142    0.0047 |
  316.875     3     3     3.0     45  15366 |   15  4876    0.2137    0.0142    0.0047 |
  317.850     3     3     3.0     45  15411 |   15  4891    0.2134    0.0142    0.0047 |
  318.825     3     3     3.0     45  15456 |   15  4906    0.2138    0.0143    0.0048 |
  319.800     3     3     3.0     45  15501 |   15  4921    0.2134    0.0142    0.0047 |
  320.775     3     3     3.0     45  15546 |   15  4936    0.2132    0.0142    0.0047 |
